year_mobility,region_origin,destination,latitude,longitude,n_mobile
2002,Sub-Saharan Africa,FR,46,2,25
2002,Sub-Saharan Africa,GB,54.75844,-2.69531,73
2002,Sub-Saharan Africa,IT,42.83333,12.83333,6
2003,Sub-Saharan Africa,BI,-3.5,30,1
2003,Sub-Saharan Africa,CG,-1,15.5,1
2003,Sub-Saharan Africa,ER,15,39,1
2003,Sub-Saharan Africa,ES,40,-4,9
2003,Sub-Saharan Africa,NE,18,9,2
2003,Sub-Saharan Africa,PK,30,70,1
2003,Sub-Saharan Africa,TN,34,9,1
2004,Sub-Saharan Africa,BN,4.5,114.66667,1
2004,Sub-Saharan Africa,CA,60.10867,-113.64258,21
2004,Sub-Saharan Africa,ES,40,-4,3
2004,Sub-Saharan Africa,GA,-1,11.75,1
2004,Sub-Saharan Africa,SY,35,38,1
2004,Sub-Saharan Africa,US,39.76,-98.5,145
2005,Sub-Saharan Africa,AU,-25,135,24
2005,Sub-Saharan Africa,ES,40,-4,1
2005,Sub-Saharan Africa,GA,-1,11.75,1
2005,Sub-Saharan Africa,LA,18,105,1
2005,Sub-Saharan Africa,NA,-22,17,2
2005,Sub-Saharan Africa,NG,10,8,10
2005,Sub-Saharan Africa,NL,52.25,5.75,32
2005,Sub-Saharan Africa,SE,62,15,16
2005,Sub-Saharan Africa,TN,34,9,2
2006,Sub-Saharan Africa,CZ,49.75,15,1
2006,Sub-Saharan Africa,NL,52.25,5.75,25
2006,Sub-Saharan Africa,RW,-2,30,1
2006,Sub-Saharan Africa,SE,62,15,19
2007,Sub-Saharan Africa,ID,-5,120,1
2007,Sub-Saharan Africa,TH,15.5,101,1
2007,Sub-Saharan Africa,ZW,-19,29.75,1
2008,Sub-Saharan Africa,BE,50.75,4.5,24
2008,Sub-Saharan Africa,MG,-20,47,1
2008,Sub-Saharan Africa,NL,52.25,5.75,20
2008,Sub-Saharan Africa,ZW,-19,29.75,4
2009,Sub-Saharan Africa,CO,4,-73.25,2
2009,Sub-Saharan Africa,ID,-5,120,1
2009,Sub-Saharan Africa,KR,36.5,127.75,1
2009,Sub-Saharan Africa,MU,-20.3,57.58333,1
2009,Sub-Saharan Africa,PS,31.92157,35.20329,1
2009,Sub-Saharan Africa,ZW,-19,29.75,3
1990,Sub-Saharan Africa,FI,64,26,1
1990,Sub-Saharan Africa,OM,21,57,2
1991,Sub-Saharan Africa,NO,62,10,2
1991,Sub-Saharan Africa,NZ,-42,174,1
1992,Sub-Saharan Africa,BJ,9.5,2.25,2
1992,Sub-Saharan Africa,GB,54.75844,-2.69531,43
1993,Sub-Saharan Africa,BG,42.66667,25.25,1
1993,Sub-Saharan Africa,CA,60.10867,-113.64258,15
1993,Sub-Saharan Africa,CF,7,21,1
1993,Sub-Saharan Africa,DK,56,10,3
1993,Sub-Saharan Africa,FR,46,2,14
1994,Sub-Saharan Africa,CA,60.10867,-113.64258,11
1994,Sub-Saharan Africa,ES,40,-4,2
1994,Sub-Saharan Africa,PT,39.6945,-8.13057,1
1995,Sub-Saharan Africa,CA,60.10867,-113.64258,13
1995,Sub-Saharan Africa,UG,1.25,32.5,1
1996,Sub-Saharan Africa,AE,23.75,54.5,1
1996,Sub-Saharan Africa,AU,-25,135,8
1996,Sub-Saharan Africa,DK,56,10,4
1996,Sub-Saharan Africa,ES,40,-4,3
1996,Sub-Saharan Africa,IT,42.83333,12.83333,7
1996,Sub-Saharan Africa,JM,18.16667,-77.25,1
1996,Sub-Saharan Africa,NG,10,8,3
1997,Sub-Saharan Africa,JM,18.16667,-77.25,1
1997,Sub-Saharan Africa,NG,10,8,6
1997,Sub-Saharan Africa,PG,-6,147,1
1997,Sub-Saharan Africa,ZA,-29,24,5
1998,Sub-Saharan Africa,SZ,-26.5,31.5,2
1998,Sub-Saharan Africa,TZ,-6,35,2
1998,Sub-Saharan Africa,ZA,-29,24,7
1999,Sub-Saharan Africa,CO,4,-73.25,1
1999,Sub-Saharan Africa,HU,47,20,1
1999,Sub-Saharan Africa,JP,35.68536,139.75309,6
1999,Sub-Saharan Africa,ZA,-29,24,9
2000,Sub-Saharan Africa,BE,50.75,4.5,22
2000,Sub-Saharan Africa,ML,18,-2,1
2000,Sub-Saharan Africa,MY,2.5,112.5,2
2001,Sub-Saharan Africa,CM,6,12.5,4
2001,Sub-Saharan Africa,KR,36.5,127.75,1
2002,Sub-Saharan Africa,BE,50.75,4.5,10
2002,Sub-Saharan Africa,DE,51.5,10.5,33
2002,Sub-Saharan Africa,KR,36.5,127.75,2
2002,Sub-Saharan Africa,NC,-21.5,165.5,1
2002,Sub-Saharan Africa,RO,46,25,1
2002,Sub-Saharan Africa,ZW,-19,29.75,2
2003,Sub-Saharan Africa,BR,-10,-55,5
