year_collaboration,main_field_id,country_region,n_pub_region,co_country_region,n_pub,prop_coll
2003,5,LAC,3589,Domestic,1574,0.438562274
2003,All,LAC,35680,Domestic,18623,0.521945067
2002,1,LAC,1806,Domestic,443,0.245293466
2002,2,LAC,14722,Domestic,7897,0.536408097
2002,3,LAC,11104,Domestic,5680,0.511527378
2002,4,LAC,4941,Domestic,2833,0.573365715
2002,5,LAC,3229,Domestic,1359,0.420873335
2002,All,LAC,32408,Domestic,16570,0.511293508
2001,1,LAC,1558,Domestic,366,0.23491656
2001,2,LAC,12582,Domestic,6603,0.52479733
2001,3,LAC,10319,Domestic,5192,0.50314953
2001,4,LAC,4165,Domestic,2406,0.577671068
2001,5,LAC,2777,Domestic,1115,0.401512423
2001,All,LAC,28545,Domestic,14306,0.501173586
2000,1,LAC,1332,Domestic,273,0.204954955
2000,2,LAC,11551,Domestic,5936,0.513894901
2000,3,LAC,8678,Domestic,4069,0.46888684
2000,4,LAC,3761,Domestic,2106,0.559957458
2000,5,LAC,2306,Domestic,727,0.315264527
2000,All,LAC,25183,Domestic,12109,0.480840249
1999,1,LAC,1087,Domestic,213,0.195952162
1999,2,LAC,9986,Domestic,4889,0.48958542
1999,3,LAC,7757,Domestic,3653,0.470929483
1999,4,LAC,3171,Domestic,1690,0.532954904
1999,5,LAC,1919,Domestic,566,0.294945284
1999,All,LAC,21793,Domestic,10185,0.467351902
1998,1,LAC,908,Domestic,160,0.176211454
1998,2,LAC,9015,Domestic,4287,0.475540765
1998,3,LAC,6497,Domestic,2978,0.458365399
1998,4,LAC,2290,Domestic,1080,0.471615721
1998,5,LAC,1791,Domestic,546,0.304857621
1998,All,LAC,18589,Domestic,8334,0.448329657
1997,1,LAC,804,Domestic,150,0.186567164
1997,2,LAC,7890,Domestic,3535,0.448035488
1997,3,LAC,5710,Domestic,2712,0.474956217
1997,4,LAC,1991,Domestic,920,0.462079357
1997,5,LAC,1468,Domestic,471,0.320844687
1997,All,LAC,16167,Domestic,7142,0.441764087
1996,1,LAC,651,Domestic,116,0.178187404
